,"SKG+zym (naive) GFPlo","SKG+zym (naive) GFPhi","SKG+zym (memory) GFPlo","SKG+zym (memory) GFPhi","SKG+zym (joint) GFPlo","SKG+zym (joint) GFPhi"
10.23.2020,12.700,11.700,11.600,10.500,8.210,4.890
10.23.2020,11.700,11.000,9.690,15.900,9.260,9.200
10.23.2020,11.900,11.200,9.620,11.700,5.580,8.050
10.23.2020,12.600,10.700,8.010,15.200,9.900,6.990
