,"SKG+zym (naive) GFPlo","SKG+zym (naive) GFPhi","SKG+zym (memory) GFPlo","SKG+zym (memory) GFPhi","SKG+zym (joint) GFPlo","SKG+zym (joint) GFPhi"
10.23.2020,27.600,22.300,20.800,22.700,14.000,26.200
10.23.2020,27.000,21.600,23.100,19.900,16.100,15.900
10.23.2020,26.800,21.800,25.400,20.700,10.600,21.200
10.23.2020,26.300,20.400,27.500,22.800,7.000,25.400
08.2020,28.200,24.800,30.500,24.700,13.400,47.500
08.2020,26.000,24.700,24.300,23.500,20.900,27.600
08.2020,29.100,24.300,25.900,22.400,24.100,23.700
