G1_S
Chek2
Cdc25a
Chek1
Psmb1
Psmd3
Psmd2
Psma7
Psmd13
Psmb7
Psma4
Psmb11
Psmd14
Psmd12
Psmd7
Psmc1
Psmd6
Psmb3
Psmb9
Psmb5
Q8BJY1
Psmb6
Psmd4
Psma5
Psmb4
Psme2
Psmc5
Psme1
Psmc4
Psmb10
Psma3
Psmd9
Psmc3
Psmb8
Psma2
Psmd8
Psmc2
Psma1
Psma8
Psmd11
Psme4
Psmd10
Psmb2
Psmf1
Psmd1
Psma6
Psme3
Psmc6
Ubb
Rps27a
Ubc
Uba52
Cdkn1c
Cdkn1a
Cdkn1b
Ccne2
Ccne1
Cdk2
Atm
Mdm2
Mdm4
Tp53
Phf20
Cop1
Znf385a
Ccna2
Ccna1
