G2_M
Chek2
Cdc25a
Chek1
Psmb1
Psmd3
Psmd2
Psma7
Psmd13
Psmb7
Psma4
Psmb11
Psmd14
Psmd12
Psmd7
Psmc1
Psmd6
Psmb3
Psmb9
Psmb5
Psmd5
Psmb6
Psmd4
Psma5
Psmb4
Psme2
Psmc5
Psme1
Psmc4
Psmb10
Psma3
Psmd9
Psmc3
Psmb8
Psma2
Psmd8
Psmc2
Psma1
Psma8
Psmd11
Psme4
Psmd10
Psmb2
Psmf1
Psmd1
Psma6
Psme3
Psmc6
Ubb
Rps27a
Ubc
Uba52
Cdk2
Atm
Tp53
Gtse1
Pkmyt1
Ccnb2
Ccnb1
Cdk1
Wee1
Uimc1
Bard1
Brca1
Brcc3
Babam2
Abraxas1
Babam1
Ube2v2
Ube2n
Herc2
Sumo1
Gm28043
Rnf8
Pias4
Nsd2
H3c1
H2afx
Hist1h2bm
Hist1h2bh
Hist3h2bb
Hist2h2be
H2bc4
Hist1h2bp
Hist1h2ba
Hist1h2bf
Hist1h2bb
Hist1h2bk
H4c1
Mre11
Rad50
Nbn
Kat5
Mdc1
Rnf168
Tp53bp1
Atr
Atrip
Cdc25c
Ywhae
Ywhag
Ywhah
Sfn
Ywhaq
Ywhaz
Ywhab
Rhno1
Rad9a
Rad9b
Hus1
Rad1
Rbbp8
Brip1
Blm
Rmi2
Rmi1
Top3a
Dna2
Wrn
Exo1
Rpa1
Rpa2
Rpa3
Topbp1
Rfc3
Rfc2
Rad17
Rfc5
Rfc4
Clspn
Cdc7
Dbf4
Mcm10
Mcm3
Mcm7
Mcm4
Mcm2
Mcm5
Mcm6
Cdc6
Orc5
Orc1
Orc3
Orc6
Orc4
Mcm8
Orc2
Cdc45
