,primerid,Pr(>Chisq),coef,FDR
1,0610009B22Rik,0.04331819504290691,-0.02828506543636409,0.14123783083206443
2,0610009O20Rik,0.0999775212797649,0.04564569071771486,0.2452463472269879
3,0610010F05Rik,0.4907045113104184,,0.6840057321970789
4,0610010K14Rik,0.09718906165973717,-0.028079127819567284,0.24066777521670096
5,0610012G03Rik,0.6012915188882964,0.025513295944472714,0.7707603817565579
6,0610030E20Rik,0.023533248598089623,0.07665337928291002,0.09420818049011598
7,0610031O16Rik,0.011941017635919005,-0.005711800727948192,0.05927929911967715
8,0610037L13Rik,0.3513892410841411,-0.010226595918801429,0.558602790000544
9,0610038B21Rik,0.31977722087850935,,0.5269343210951765
10,0610040B10Rik,0.7928377203129824,0.005792773960204521,0.8722676824586593
11,0610043K17Rik,0.3018300887606485,,0.5076417466001242
12,1110002L01Rik,0.07223014061024596,-0.02558693519465831,0.19904193134954518
13,1110004E09Rik,0.014816197932347949,-0.008578029346960267,0.06883461627449751
14,1110004F10Rik,1.023771083260991e-05,-0.13277132368501765,0.0003922890419957253
15,1110006O24Rik,0.8667990676381978,,0.9156122338144173
16,1110008F13Rik,0.0002073698527825388,0.08561355572183618,0.0037440118953389213
17,1110008L16Rik,0.5663142874607838,0.013672807142717448,0.742483836128871
18,1110008P14Rik,0.0035081311951061863,0.009347088505602619,0.025720821459731136
19,1110012L19Rik,0.1320097370237428,0.05417115444390243,0.29385006304983075
20,1110019D14Rik,0.210421141147816,,0.40124439180979066
21,1110020A21Rik,0.8857310244520198,0.0032746113574995,0.9278795698014088
22,1110032A03Rik,0.33202216175190247,-0.01192778708243604,0.5385543926960807
23,1110032F04Rik,0.10713022487533425,0.014330159063936898,0.2573014601663673
24,1110034G24Rik,0.01812579316398291,-0.01639527233928198,0.07847829590349199
25,1110035H17Rik,0.7708249022251839,0.0062735164742552295,0.8581462483235498
26,1110038F14Rik,0.0008079979520285359,-0.12280728431482774,0.00945304793549725
27,1110046J04Rik,0.6936501214947319,,0.8323057539041662
28,1110051M20Rik,0.44054771430930395,0.019802333404038648,0.6408876413546954
29,1110059E24Rik,0.09845050653103339,-0.024060543325697736,0.24316673503525493
30,1110059G10Rik,0.8177267550143543,-0.014286459433727777,0.887067783812063
31,1110065P20Rik,0.3069152151398956,0.023605357396485355,0.5124114118191728
32,1190002N15Rik,0.8999951889875499,0.000952850162784773,0.9367006992286735
33,1190007I07Rik,0.06906520744349584,-0.01411011479984936,0.19308055539201313
34,1300002E11Rik,0.12012142714926276,0.014314930596544206,0.27662589269991955
35,1300014J16Rik,0.38155855939853356,0.022265937876108893,0.5899467854471404
36,1300017J02Rik,0.5056857090809341,,0.6959372909440956
37,1500002C15Rik,0.7481432544901782,,0.8503662770621073
38,1500009L16Rik,0.9358964292054203,,0.9580336021793792
39,1500011B03Rik,4.8069216722698344e-05,-0.09156844820724191,0.0013036954232368188
40,1500011K16Rik,3.2401332083565735e-05,-0.10024654913578274,0.0009643436841023246
41,1500015A07Rik,0.15710730068911558,0.01611278719915621,0.330072850039339
42,1600002K03Rik,0.09155252461084432,-0.023665474670601372,0.2332496494594941
43,1600012H06Rik,0.19262969558374143,0.024660467728187585,0.37849303523040306
44,1600014C10Rik,0.0021868336250824598,0.039334740345556785,0.01853757922420539
45,1600020E01Rik,0.024140683882992092,0.06387308025164141,0.09593490930982902
46,1700001O22Rik,0.7178401102012593,,0.8344671814511837
47,1700008J07Rik,0.1261228447540271,-0.012283205193747666,0.285229956957816
48,1700010I14Rik,0.7301219697747419,0.01688157912599511,0.8391348679587611
49,1700011D18Rik,0.708347417032443,,0.8341168002013551
50,1700011H14Rik,0.8267120447520712,,0.8918383057032674
51,1700016K19Rik,0.8526134225190183,,0.907456995144587
52,1700017B05Rik,0.5049203481839031,-0.029384559052379064,0.6953468199759593
53,1700017M07Rik,0.09173282780798411,,0.23347802811985394
54,1700019C18Rik,0.6963790144604685,,0.8323057539041662
55,1700019J19Rik,0.4287653160737801,,0.6299913070638398
56,1700019L13Rik,0.7102822375090538,,0.8341168002013551
57,1700020I14Rik,0.022151267230922242,0.030446020782726013,0.09019012490527362
58,1700020L24Rik,0.34463626435274797,,0.5516467975764684
59,1700021A07Rik,0.8917843241808961,,0.9313267096241402
60,1700021F05Rik,0.021920675734547694,-0.00621582328228866,0.08970788143270508
61,1700022I11Rik,0.12481076552296436,,0.2836711213500351
62,1700022N22Rik,0.14243371393803997,,0.3088240933801074
63,1700025G04Rik,0.2749250009033664,0.013466702299757168,0.47791485312419274
64,1700026D11Rik,0.8695408577991878,,0.9176574537373723
65,1700028J19Rik,0.09891840733963497,,0.24374584935410545
66,1700028K03Rik,0.033820210465578135,,0.12011543002655727
67,1700029I15Rik,0.06808667499219236,,0.1911552851562111
68,1700029J07Rik,0.5796737471332005,,0.7549191680062566
69,1700029M03Rik,0.10146445419389367,,0.24739241312502194
70,1700030K09Rik,0.8348796726295825,0.008064769907092095,0.8974913679446653
71,1700034H15Rik,0.8463140919362685,,0.9049595128828677
