,primerid,Pr(>Chisq),coef,FDR
1,0610009B22Rik,0.04392769654644813,-0.029592973550519246,0.13750038414364105
2,0610009O20Rik,0.11649886413894284,0.050162751581883,0.2656513574801169
3,0610010F05Rik,0.49053918622761905,,0.6815008319583176
4,0610010K14Rik,0.09178917248590683,-0.031924496356487087,0.2286571015484111
5,0610012G03Rik,0.5650660016195033,0.02553026871085956,0.7431801196906032
6,0610030E20Rik,0.030729332571958336,0.07859631011374221,0.10830901184996848
7,0610031O16Rik,0.003864168989466159,-0.00992182521307334,0.02559092887844132
8,0610037L13Rik,0.39403535955381586,-0.008729519649348455,0.5978496353064013
9,0610038B21Rik,0.29372022727994557,,0.49406825719126296
10,0610040B10Rik,0.6861091494602073,0.00824121962129376,0.821602985481979
11,0610043K17Rik,0.3096662191515334,,0.5116863676603869
12,1110002L01Rik,0.10299773856014814,-0.017445331681370288,0.24558382935092468
13,1110004E09Rik,0.011447712308226662,-0.005148276577610356,0.05477627902605108
14,1110004F10Rik,1.2467968885661882e-05,-0.12917409927628487,0.0004168219823676818
15,1110006O24Rik,0.9850854887234058,,0.9918136740622159
16,1110008F13Rik,0.00016425017921809458,0.09348795545173527,0.0028231203643384432
17,1110008L16Rik,0.5169472828583728,0.01798079527542198,0.7042835073801315
18,1110008P14Rik,0.002976359371901968,0.01402191983293194,0.021189649392006623
19,1110012L19Rik,0.128284742026159,0.05621535878842948,0.2828449441470653
20,1110019D14Rik,0.202941037554409,,0.38582331600776654
21,1110020A21Rik,0.7113017707514687,,0.8321117131250906
22,1110032A03Rik,0.40337922503981366,-0.009156138724939776,0.6065433378525329
23,1110032F04Rik,0.08687304222409868,0.016220527673885557,0.2202142866817634
24,1110034G24Rik,0.011756610454650776,-0.01668438602386571,0.05556783440089559
25,1110035H17Rik,0.7578196412860349,0.006706461268836475,0.85570089155107
26,1110038F14Rik,0.0009648634724941254,-0.11478057172457073,0.009700851058987586
27,1110046J04Rik,0.7084590934570892,,0.8319580544533578
28,1110051M20Rik,0.5140749157325184,0.021604838211653845,0.7020663779457939
29,1110059E24Rik,0.11315860228650598,-0.013815673822207247,0.2610249271441525
30,1110059G10Rik,0.7174091111795683,-0.009193825280029058,0.8332303707917135
31,1110065P20Rik,0.3214832161417474,0.028234051702624396,0.5245715195020308
