gene,logfoldchange,adj_p_value,cluster_7_percent,other_percent
Ttc38,-0.48548805713653564,0.43752708440409055,0.04154941234894885,0.052798469360334506
Wdr45,-0.4651590585708618,0.4360827630591978,0.04353583843734481,0.05479775993464685
Bin2,-0.03684856742620468,0.4343120256377177,0.6134745902996193,0.602743112658949
Cfap43,-0.15829649567604065,0.4322793447264405,0.16834961099155768,0.1770232068190857
Glipr1,-0.15506193041801453,0.43128373305097806,0.16470782982949841,0.1732503520256253
Kifc5b,-0.6449894309043884,0.43114422693159765,0.028637642774375104,0.04013629572302301
Atp6ap2,-0.12719404697418213,0.43068885914712196,0.22877007118026818,0.2344006965270388
Sys1,-0.28975555300712585,0.43043466904961514,0.07680847541797715,0.08768931454430148
Fbxo8,-0.3551476299762726,0.43028867183798425,0.0627379572918391,0.07370502939817054
Cldn4,-1.9124468564987183,0.42910095437480983,0.005131600728356232,0.016875732267045026
Rab11fip4,-0.5062081813812256,0.4289568488810093,0.034100314517463995,0.045704212483742325
Hist1h2bc,-0.8195796608924866,0.4260278468191932,0.019698725376593278,0.031365214493781775
Tsc22d4,-0.031226037070155144,0.425470500084302,0.5639794735970866,0.5527608483011405
Znfx1,-0.33672040700912476,0.4254102664823887,0.06191027975500745,0.07308159470295486
Lst1,-0.45239055156707764,0.4247199369503397,0.04188048336368151,0.053400406307439294
App,-0.5868674516677856,0.4240610292889238,0.030127462340672075,0.041737877957283974
Arid1b,-0.2816513478755951,0.42298193957490543,0.08905810296308558,0.09955607150151022
Gstp3,-0.11668304353952408,0.4194564121694706,0.2817414335374938,0.28443670525512454
Rtl8c,-0.6079713702201843,0.4194172403400587,0.032941565965899686,0.04446809196736642
Wdtc1,-0.3190060555934906,0.41799643644411266,0.07333222976328423,0.08416368385411628
Rab3a,-0.5536951422691345,0.41697613620306034,0.038238702201622246,0.04965979813614524
Jaml,-0.47709426283836365,0.41697613620306034,0.03227942393643436,0.04411337912353681
Gm11695,-1.0693343877792358,0.41159654470381846,0.012580698559841086,0.024485935098298453
Nipal3,-0.4197680354118347,0.41105626656419186,0.048832974673067374,0.06031193232508895
Oas2,-1.7005585432052612,0.41061130981130517,0.005628207250455223,0.017595906828759687
Stard5,-0.27039897441864014,0.4080203310393308,0.09948683992716438,0.10974600410606988
Cep350,-0.2907681465148926,0.40801517871965903,0.08210561165369971,0.09302075607580106
Cntrl,-0.13796314597129822,0.4063979568324186,0.22413507697401092,0.22972493631292124
Zfp467,-0.5790726542472839,0.4054491755696382,0.029134249296474093,0.0410392011436802
Scd2,-0.3491082787513733,0.40530156216396984,0.07002151961595762,0.08115399911859232
1500011B03Rik,-0.12478666007518768,0.40452537984075293,0.25277271974838605,0.25697333204346845
Tmem128,-0.11868690699338913,0.40250023133188506,0.2661810958450588,0.2687755957563445
Pip5k1c,-0.2810214161872864,0.4012181937324196,0.09054792252938255,0.10109316049143852
Usp45,-0.41764453053474426,0.40100515801238074,0.05264029134249296,0.06411703374071566
Atg13,-0.25619831681251526,0.4006978712531865,0.09865916239033273,0.1092193092773532
Fam177a,-0.3091835379600525,0.39878085365472205,0.08558185730839266,0.09594444981888148
Tmlhe,-0.6527312397956848,0.39805966058416703,0.02565800364178116,0.03765330581621575
Fam208a,-0.16149578988552094,0.39573388611171195,0.1993047508690614,0.205851687035783
Mepce,-0.31504589319229126,0.39573388611171195,0.07415990730011587,0.08531381337804865
