gene,logfoldchange,p_value,adj_p_value
Bclaf3,0.14757104,0.49251146793082257,1.0
Lman2,0.10649523,0.2399583536295321,1.0
Sart1,0.18845886,0.12724512217740724,0.7094905340276578
Ubfd1,0.70923203,0.021574008573310346,0.1780844115318426
Morf4l1,0.017623119,0.5943159480984843,1.0
Mcm7,0.40906587,0.03532473566456555,0.26558331053234446
Mrpl32,0.28848308,0.037109763486632016,0.2768448156974974
Tmed9,0.48228106,7.155022184858303e-08,1.954845897259811e-06
Emc10,0.17958844,0.06785305265984772,0.4455630321627353
Atxn10,0.5605442,5.129536490225384e-07,1.226525898796216e-05
Mad2l2,1.0393138,7.77911430082047e-05,0.0012150582843249665
Man1a,0.1581602,0.16094329842142796,0.83978741749891
Mtdh,0.20444484,0.040270751110207226,0.2965763756087997
Csde1,0.018128835,0.685932678964494,1.0
Comt,0.45642066,0.057700355763623846,0.3942739356935445
2610524H06Rik,0.8013394,0.020646589538808723,0.17153343033588545
Vdac1,0.52683884,8.335857052449071e-06,0.00016210664368274938
Crnkl1,0.20462163,0.1556150449983762,0.8224660257983555
Cd83,2.3858514,0.02163680679428335,0.17842603762173495
Yif1b,0.30753458,0.0637894990111866,0.42558678563668373
Tbcb,0.2738021,0.07808806306070391,0.49521143796411393
Tmpo,0.46117067,0.013867965301335543,0.12339749584199582
Csk,0.13986197,0.17246484607903823,0.8806063494954813
Aebp2,0.50785047,0.06369569921669017,0.42513116665813316
Prmt5,0.80220276,0.0017009536712814704,0.019823841878025866
Bud31,-0.04559938,0.739868400249426,1.0
Setd5,0.15235409,0.20279949962033184,0.9791009445748698
Selenok,-0.7620939,6.707928813922637e-20,5.762594928496633e-18
BC005561,0.3113985,0.21081580479181183,1.0
Prmt3,0.9024997,0.0016271389161765606,0.018990124073528403
Bid,1.1671704,0.00904831315382495,0.08548706747258879
Cinp,0.9462351,0.0021372771541596663,0.02419034295204389
Hmces,0.6915352,0.02227666201724282,0.18288810304402406
Bloc1s2,0.3260863,0.017594357145729992,0.15068219742586642
Nup54,0.32738042,0.10136055349040214,0.6013794889537352
Cnn3,0.35343972,0.14364439237702673,0.7746542546252051
Ciapin1,0.5443026,0.0004041450992099575,0.005427463516062168
Knop1,0.7040571,5.893538308553394e-05,0.0009453485028907687
Gskip,0.023298895,0.5513835860163928,1.0
Prps1,0.23070833,0.1387047076553722,0.7540397011805834
Sf3b5,0.555363,3.0497096748435827e-09,9.85008942653937e-08
Chtop,0.17247176,0.06893856020469125,0.4509144601143581
Acbd6,0.40936106,0.014460631814546487,0.12731161638733848
Rac1,0.044425793,0.3595878163531995,1.0
Ntmt1,0.6898969,0.0055194252677950644,0.05551402626015241
Parl,0.4298272,0.005329289430583953,0.0538290531212801
Nadk,0.72034603,3.230931930055155e-05,0.0005534091628602181
Cenpx,0.53534687,3.6197285315950513e-06,7.47538980267201e-05
Gm26532,-0.0671401,0.8074196741328654,1.0
Kat2a,0.89070296,5.45298347577932e-05,0.0008866285132423234
Ddit3,0.37231305,0.12047056659866172,0.6826801982092132
Clptm1,0.2355964,0.074334847674752,0.47832608932332693
Abcc1,0.80803716,0.051001706595405136,0.35669091150609394
Bola2,0.73567516,1.8176684969474957e-18,1.4024658875058778e-16
Atad1,0.40067384,0.01745488482553141,0.14964151774810006
Chordc1,0.024137495,0.6782366133101534,1.0
Blmh,0.45267734,0.01790159420119588,0.15268575688696548
Snrpb2,0.34122503,0.008792170576993073,0.08358831422485258
Srp72,0.2145633,0.07234755984661509,0.4689787757307223
Tsfm,0.6822405,0.0010029477111965183,0.012363259286095541
Sdhb,0.24943139,0.008129366613468069,0.07822403232105013
Abhd11,0.66873443,0.0006659562424445194,0.008511370196764081
Atg16l2,-0.022384297,0.9066415872065718,1.0
Etfa,0.38081914,0.001264569215566795,0.015294129569402182
Hmg20b,0.45291638,0.02785383986189613,0.21938189751340306
Dusp6,-1.4098505,0.0017512361062767953,0.020268125657784075
Rrp8,0.51057297,0.028908517127082735,0.22587404896388225
Ube2j2,0.42566806,0.018583879257639987,0.15780062756560387
Tmem97,2.19251,0.0008381885437325334,0.010503195691613836
Ndufb8,0.6201369,1.0891465146290502e-09,3.727251706942043e-08
Cdv3,0.78198034,0.018198070098812167,0.15513505691396604
Smarcad1,0.35303703,0.09484704133035368,0.5731402432239574
Aasdhppt,0.7471059,0.0007785936339745421,0.009815462559621572
Hmgb1,0.19556476,0.012913152602065369,0.11626720759914719
Mettl2,0.6969924,0.0013876629466099326,0.01651913619157224
Ndufv1,0.124015786,0.22592856684697982,1.0
Mrps5,0.5557574,0.00010844113817693212,0.0016340687241019447
Tmem183a,0.32545814,0.11367596439077395,0.6556135694164564
Snw1,0.19387363,0.05656620467138673,0.3873181458723629
Tnfrsf19,0.3922292,0.46378281306894364,1.0
Ankrd39,0.44087526,0.02574776273477509,0.20650250901720965
Ets2,0.2713904,0.29139713666146705,1.0
Dek,0.23187916,0.05068152601607601,0.3548796234634618
Alg3,0.34769833,0.16862799844576126,0.8668581807825593
Cox6a1,0.34007424,1.623569160716132e-05,0.0002960438034189831
Polb,0.34593913,0.07226016304476672,0.46859450478758063
Mrpl50,0.9719111,0.000551060662520397,0.0071862104863575395
Srpr,-0.23682767,0.2178225353832327,1.0
Rap2c,-0.2282583,0.7101904637828406,1.0
Atp9b,0.22875558,0.14398947468265202,0.7756071703494113
Ppil1,1.1114914,0.0006013117309965387,0.0077685746579754375
Pspc1,0.18803908,0.15960043279054903,0.8355182007508931
Dut,0.45430192,0.0021619945029794346,0.024411788879847737
Rc3h1,0.37060836,0.04944795598003549,0.3481620761991008
4921524J17Rik,-0.4695958,0.08213255750832303,0.5132726497198453
Thoc3,0.4112951,0.032903958963302116,0.24994411124995125
Naf1,1.167192,0.005014203304155675,0.05095531235796248
Lzic,0.9005639,0.000297909954545409,0.004099890423165802
Ankrd46,0.4263646,0.07834988757297527,0.49630529315515237
Mvp,0.78312063,0.016422914019585025,0.14188920946106998
Rae1,0.4688956,0.0014035165609080744,0.016660261398927328
Polr3h,1.3730173,0.00212286981793619,0.02408423988136456
Bach2,0.5011174,0.0060064403883168735,0.06001399011492147
Ints11,0.25147235,0.04437033521590488,0.3197042830558888
Ogfr,0.3625609,0.023470575882425904,0.19062408267861117
Gosr2,-0.027910218,0.6702490554745986,1.0
Irf3,-0.380864,0.06229864123466292,0.418319562778764
Eed,0.2366433,0.07091858167255186,0.4615107700721395
Gadd45gip1,0.6582828,0.0007362422142666813,0.009338061448225656
Xist,-0.08904708,0.26627567619561,1.0
Gnas,-0.086326145,0.8002983971429707,1.0
Trav3-3,-0.09095555,0.8931068194831167,1.0
Nup93,1.3997697,0.000585351885598449,0.00758001128623446
Ubxn4,0.13941622,0.15877708379707622,0.832777374772561
Nfx1,0.16729413,0.18012068645710944,0.9044565714052986
Mrpl13,0.3917734,0.012970361906428498,0.11659333955368788
Pphln1,0.22625002,0.14337165233176516,0.7735292838333435
Kdelr2,0.52580494,0.0027832629571607577,0.03055722031886771
Pfdn6,0.3267399,0.020537612448858687,0.17096895558075867
Thoc1,0.3948791,0.03683188250489934,0.2750179900657045
Dnttip2,0.17717737,0.1271470451955625,0.7091809421784621
Utp6,0.8552724,0.005608637310633022,0.05637729156755727
Aggf1,0.28381833,0.15606600204743667,0.8241432161351646
Mrps14,0.23061784,0.018262526009968683,0.1556049378743037
Ddx46,0.20046559,0.06833640120046014,0.44785468439121856
R3hdm1,0.28117028,0.05041239566511435,0.3534593967836751
Pknox1,0.2900566,0.1687172487712062,0.8670495430221777
Kcna3,0.71210396,0.07642746676655278,0.4874627482324411
Per1,-0.34113032,0.7853398249043773,1.0
Alkbh6,0.33519885,0.07296595642852324,0.47206934388112126
Mrps21,0.2188375,0.01760435673205234,0.1506904002549483
Fam133b,0.054742362,0.4216609306503021,1.0
Hmgcs1,0.039221648,0.6197215218640467,1.0
Acadvl,0.36524138,0.028035087328772273,0.22070513246165266
Fam60a,0.7143888,0.0033693201379751195,0.036227799625479576
Desi2,0.39017114,0.012775817488193992,0.11515509694875126
Chic2,0.39545056,0.16211347980555324,0.8432532005116574
Rex1bd,0.40811595,0.00028939687043057563,0.003995930606956067
C2cd5,-0.025580259,0.7861665951328993,1.0
Pelp1,0.89517176,0.0024730875261822216,0.02752939284871653
Hdac1,-0.0013831139,0.988408470170124,1.0
Pmpca,0.14656064,0.21481188207699697,1.0
Camta1,0.37125075,0.1511597253854331,0.8048466470465439
Pwp2,0.72355115,0.023019662820676155,0.18760180956938327
Letm1,0.46139252,0.0021015181412219466,0.023890792183905156
Tipin,0.17499766,0.19647542651513894,0.9608155687503831
Ifnar1,-0.011055823,0.805328271020931,1.0
Arpc1b,-0.13446018,0.002734659577980353,0.030083060413610935
Appbp2,0.13802998,0.33508016490542303,1.0
Nans,0.46158826,0.000630371624742055,0.008106306711382013
Pdrg1,0.8199842,1.6583747435739541e-09,5.5166613725356326e-08
Hirip3,1.4271483,0.0011238988023030562,0.013722269186214458
Thop1,2.0832286,0.0020492686699355666,0.023360541486420076
Mtrr,1.2476445,0.0010850706309096698,0.013334943464180895
Midn,-0.9631026,6.799295818864088e-10,2.3657007122586407e-08
Zbtb7b,-0.31776205,0.1685631113755418,0.8667919821613019
Scaf11,0.37339446,0.007936663457155772,0.07659087039777539
0610037L13Rik,0.2663896,0.09841525495341077,0.5889366747050427
Slc41a1,-0.39134583,0.5067388742245962,1.0
Atg101,-0.61488456,6.235644219036288e-05,0.0009935300817825888
Cog2,0.6217252,0.01893814049194502,0.15997113504245092
Sod2,0.5263406,0.00026786898565525234,0.003717156132331753
Vps4b,0.2033317,0.06250140138413048,0.4195120239500276
Hnrnpa0,0.5231241,0.025953911178691873,0.2078557826545309
Hsf1,0.3736988,0.017820556052209276,0.15215030080231545
Cox19,0.42290777,0.051257817152002005,0.35818145939424123
Aifm1,0.6163627,0.017022834498853657,0.14654057838734247
Rpf1,0.36314285,0.016077949206163514,0.13919745530904995
Usp38,-0.6676986,0.009448631010605946,0.08886618759749362
Gch1,-1.6904417,0.0008799638973310429,0.010960746123257968
Psmc6,0.41706988,0.0009008060372050563,0.01117858035447466
Ptpn22,-0.07698503,0.9973635713345472,1.0
Mindy3,-0.64735425,0.03336249217173851,0.25296601207197184
Tob2,-0.7241521,0.0062839157401037874,0.06238996708756279
Gmps,0.71011186,1.2806847823655266e-05,0.00023768254546663547
Mpdu1,-0.6792282,0.009960235376095096,0.09247759486239603
3110082I17Rik,2.9474163,0.00020760496130489732,0.0029371343676633434
Rab11a,-0.17190917,0.5288900759922479,1.0
Rftn1,0.2211273,0.12094131279541838,0.684165792448574
Ankrd49,0.7952444,9.554087606189432e-05,0.0014608112297683769
Atf2,0.33727142,0.060804242545585155,0.4114346351054496
Polr1a,0.416835,0.05548410088271461,0.38179109220120633
Ppp6c,0.19883654,0.11330519899227239,0.6540853641860795
Itk,-0.008472587,0.7032311286015603,1.0
1110008F13Rik,-0.38438523,0.24918628231932438,1.0
Jmjd6,-0.5161414,0.1191476793220938,0.6779305741690673
Zpr1,0.49047482,0.004187821390916915,0.043703338322492985
Ncbp2,0.74866444,0.0002504265368861588,0.0034925595512508133
Rbx1,0.10383477,0.21253276966011536,1.0
Pigt,0.60925204,2.8559326173551688e-05,0.0004952858793011576
Tapbp,0.21417977,0.01881851909334653,0.15921167017803545
Usp9x,0.11942408,0.260077260115008,1.0
Smn1,0.7967706,0.00015391972046791246,0.0022621041105099025
Mrpl11,0.6565648,0.00012943268663529776,0.0019329078453977353
Ppp2r5d,0.7404534,0.021656276558899006,0.17849827157794798
Eif3e,0.07861504,0.8532185111320303,1.0
Trim27,0.086845465,0.34044589859529617,1.0
Zmiz2,0.8316583,0.00860665735266018,0.0819180762075583
Dnajc8,0.26358667,0.010666238353786647,0.09810349249680368
Rbbp8,0.44950432,0.29681545394817066,1.0
Gm10282,0.48683447,0.05566492082253911,0.3826572311547866
Ctdnep1,0.7169254,0.11755928725822216,0.6721245562420345
Rrp12,0.9548471,0.05913839319757397,0.40212177112638425
Dapk3,-0.049614318,0.8149640992715413,1.0
Coa5,0.74441665,0.00028131219163226624,0.003887519888676077
Capns1,0.1336742,0.1556990466454945,0.8224660257983555
Smim13,0.68656605,0.03174153496188135,0.24323639946801162
Pdia4,0.08641497,0.398929126813622,1.0
Slc16a1,0.8976508,0.04789861742635853,0.3388278259879844
Timm22,0.7897766,0.0009944756148371034,0.012267898295244386
Zc3h18,0.25640225,0.0880462789533936,0.5428706196956189
Gm3839,0.5233751,1.0905880725718496e-06,2.4830247018418643e-05
Hdac2,0.6348641,0.007064796806090657,0.06925994327665111
Agpat5,0.55768234,0.118645252731413,0.6757832474442
Mmd,1.0426699,0.04083080777176341,0.2997736750326912
Luc7l,0.5207461,0.0009770910235743274,0.012080266319651143
Srsf9,0.7215332,0.20782820081629583,0.9958783193802145
Psph,0.39777815,0.017159275894813038,0.1475626894029691
Cops2,0.43114954,0.003697697230339873,0.039252115949582375
Gcn1l1,0.44489196,0.0260311445415372,0.2082741502300811
Park7,0.4542554,2.0416172136401958e-08,6.000986328488096e-07
Fxr1,0.009675696,0.5337407156079632,1.0
Pitpnm2,0.59134495,0.07710926875224224,0.489936360283976
Mrps12,0.71650434,3.565936382330071e-05,0.0006058093348411107
Appl1,0.16098012,0.2074592835579504,0.9955417275487478
Ppp1r16b,-0.11808172,0.8894377017219215,1.0
Trmt11,0.6394748,0.0093274784388607,0.08792520116631924
Prr14l,-0.094275676,0.8272422900865195,1.0
Sart3,0.40420958,0.024927108692511038,0.20088742430821516
Sarnp,0.31643018,0.00154426573672764,0.01812445969598792
Vamp4,0.18424849,0.1914533574228694,0.9454108606843086
Atpif1,0.39172235,0.013200477044199072,0.11847019408649528
Gnai3,0.24175856,0.014039168226890148,0.12452196789215073
Nudt19,0.71548676,0.00021072310910258673,0.002973675983322363
Sfxn1,0.4401878,0.010285285107505657,0.0950718589027672
Polr1e,0.8093212,0.02246932411273237,0.18419761714844943
Larp1,0.78431004,0.004707570716734839,0.048251152254060785
Dcaf7,0.55986905,0.002270440419951839,0.025549736690693683
D16Ertd472e,-0.6291424,0.011950165991680334,0.10865328227896587
Nefh,2.9314272,0.0008344762939721104,0.010464546211692394
Faap100,0.5856243,0.05127973004047716,0.3581844010287479
Rbm34,0.1660212,0.24480764429514168,1.0
Tgs1,0.53019565,0.0006388058990423287,0.008195796084249
Pycrl,1.6894115,4.5367442550889436e-05,0.0007515842918023094
Med29,0.55727166,0.0020456598262310324,0.023335363904152213
E2f4,0.31972402,0.12035153889251052,0.6822376691097212
Leo1,0.16984086,0.46774392691781763,1.0
Nono,0.30415,0.0017165416258750883,0.019977571743599317
Sptlc1,0.29637623,0.0787729705859497,0.4982928415139318
Pcnp,0.16733824,0.11802726605254503,0.6734140417773761
Hax1,0.2994167,0.07752248583651708,0.4919991427842322
Maea,0.3468893,0.011041452371028066,0.1012750936794462
Slc52a2,0.5596718,0.03166863692798938,0.2429011420932395
Dot1l,0.6719422,0.04962131762371247,0.3490689891201969
Exosc9,0.5038058,0.022816631934261717,0.18640293520412046
Napa,0.3410265,0.0035766183311373837,0.0381368657112832
Pde12,0.10551846,0.45704280487733795,1.0
Rce1,0.5632103,0.010272072929116175,0.09500242366073816
Otud4,0.5192763,0.08291588931690619,0.5169757618240024
Guk1,0.6783379,1.7205943220154276e-05,0.0003116894018555339
Rpl10,0.2724825,0.00031408731766270046,0.004294158520235083
Chchd3,0.46293357,5.470063101449943e-05,0.0008882685264564477
Calm3,0.071239196,0.43514776878481565,1.0
Golga7,0.28780222,0.015689580137184824,0.13618882425329285
Il2ra,1.4626324,0.04728104841965721,0.3361714816390815
Med8,0.43858185,0.003744406589961003,0.03972264814022283
Cpsf2,0.4002926,0.0324295905728618,0.2473554034266887
Aldh18a1,1.1566333,0.00026951239360129394,0.003736849876671518
Commd1,0.46386546,0.008809088155607415,0.08370140433372474
Gid8,0.1525443,0.22657253138078404,1.0
Arih2,-0.42078054,0.16527866349063203,0.8562431475706787
Ctsz,0.50632447,0.0066778055869090545,0.06604884742517882
Slamf1,-0.36827254,0.3966607201242114,1.0
Erf,0.60128033,0.3022761601668459,1.0
Ppp2r1a,-0.07555997,0.6853543304280786,1.0
Usp5,0.29295447,0.07097594895040839,0.4617038115564036
Art2b,0.17367299,0.5202770819593028,1.0
Pinx1,0.8404458,0.004146750748004877,0.04332899559012494
Zcrb1,0.06770896,0.2984454747742722,1.0
Rwdd4a,0.24722657,0.2196493345538909,1.0
Gm26826,1.5032319,0.14471766075473197,0.7779461978880682
Ccdc115,0.49881908,0.010522529971621786,0.09694222471368086
Cdk11b,0.02583013,0.6751291755496314,1.0
Las1l,0.1614687,0.1589787391366425,0.8331885743557497
Hvcn1,-0.64792365,0.0010335614069660122,0.012731215379523694
Rnf20,0.23753162,0.04987160905226737,0.3504048214439663
Smim7,-0.4045913,0.1986099316883786,0.9672802809814487
Trib1,0.27449775,0.4954259508533977,1.0
Fam168a,0.17264135,0.441687716133508,1.0
Rassf5,0.021827914,0.8924640380815213,1.0
Asap1,0.5900326,0.07704349622382696,0.4897608769458226
Zbtb17,0.73275566,0.02443368590166404,0.197292543235045
Gdi2,0.17289063,0.1230934367023183,0.6919497268037716
Exosc5,0.8464274,8.10645672814037e-09,2.488070125804556e-07
Mrpl37,0.35320282,0.09859697699204355,0.5893892462515774
Thg1l,1.0385885,0.009547871456277036,0.08959731176256368
Mrpl45,1.0141627,0.0008571422386190039,0.010724573985603843
Mpc2,0.6601599,3.2930557578268076e-08,9.381549958964373e-07
Sec22b,0.18389498,0.13018825645556198,0.7222761258616498
Lrpprc,1.3148232,0.00019850854076639124,0.0028252291549211586
Cope,0.22127415,0.039370172190241845,0.291619239876698
Mtpap,0.32194868,0.12909994565358157,0.7169542466719728
Nol6,0.6810408,0.03144046277759542,0.24157987674108128
Tmc8,-0.13649604,0.7921021551048556,1.0
Acsl5,0.6944391,1.7486949556902337e-05,0.0003164359406246844
Ndufa1,0.31271496,0.000726201790226021,0.009224755362733891
Ube2f,0.38873622,0.013947221789026305,0.12397034577915328
Mrpl35,0.764127,1.0849217492240711e-05,0.00020453965919194986
Prkcd,0.5185769,0.03234686347811732,0.24695044742386774
Srrm1,0.3162784,0.0005505249625755573,0.007184846535852966
Phpt1,0.34916148,0.005729916941158278,0.057526985386351724
Nemf,0.09644335,0.20271582583855707,0.9791009445748698
Atp5j2,0.27818665,1.2733829931401888e-06,2.8682437379154522e-05
Sra1,0.32206544,0.0025527564266054252,0.028249826431478102
Pum1,0.14551954,0.17502819612318,0.889606561936236
Irf2bp2,1.6755875,0.00012264453893010078,0.0018364724939883737
Sf3b1,-0.015586154,0.22521569841184597,1.0
Qdpr,0.7720662,3.0208522691045227e-05,0.0005211751958270805
Rab3gap1,0.22582968,0.08451961427216835,0.5249817356644331
Minpp1,0.9747704,0.0034981108252902017,0.037395455429305
Trnau1ap,0.33808753,0.05687614564191114,0.38896095333118225
Ncoa3,-0.0778994,0.9456186527801758,1.0
Pdk3,0.6256589,0.11234685352031075,0.6496782306625604
Hgh1,1.0795761,0.009341029641820216,0.08800316563627796
Dhx30,0.2744123,0.05238541602541301,0.3636436756810966
Mrpl3,0.4934441,0.008072185310720664,0.07771868306670744
5430416N02Rik,0.29396576,0.19818899481568863,0.9660771534361705
Rpia,1.4779246,0.00037368820443030916,0.005038744025109654
Skiv2l2,0.77282995,5.2636978254678485e-05,0.000860046940776933
Eri1,-0.2360086,0.49464675120366786,1.0
Nvl,0.3029871,0.04625229363519512,0.33054919627965773
Tmem185b,-0.103144236,0.9044599710253998,1.0
Opa3,0.5470916,0.08170865760715595,0.5113618053626966
Mrgbp,0.35191035,0.06782145616333274,0.4455310951588898
Mphosph8,0.54332286,0.0008716380184610152,0.01088143761473504
Fen1,0.43094003,0.09670220528555203,0.5813993337983442
Cluh,1.807463,0.004561272297734904,0.04689584461076491
Gm42047,0.84370863,0.12759868677276914,0.7107485674314741
Ankrd17,-0.006713741,0.5908887560405822,1.0
Tnfsf11,1.5089484,0.07039991339613097,0.4590316731846317
Plrg1,0.29274818,0.13668842358359823,0.7469013991620486
Ccnt1,-0.3060157,0.2085484830187252,0.998167672261927
Surf6,-0.079185426,0.6664884151218382,1.0
Lactb,0.41058147,0.3122653341971928,1.0
Mboat7,-0.30930665,0.3250156123337685,1.0
Sar1b,-0.017507413,0.6050359814907392,1.0
Chd1l,0.63188183,0.0068364047321859715,0.06725827701688984
Gtpbp6,0.10270392,0.47491121420704085,1.0
Cks2,1.5049046,0.13772153323725628,0.7508233800890131
Med1,0.22337909,0.11247149143745716,0.649947946011325
Tpst2,0.41518918,0.0005806638934033074,0.007531007352108578
Chrac1,0.21667412,0.054745864505984815,0.3776467623579234
Rnf149,0.8605192,0.04270349704947812,0.3097025595416024
Traf6,-0.22224738,0.6709754135520251,1.0
Colgalt1,1.1597556,0.003449261993071064,0.03694434471498866
Yme1l1,0.0523062,0.3375315605110961,1.0
Ap2s1,0.26010302,0.01656816248905653,0.14299585501948012
Tfg,0.259376,0.10390633033617684,0.6136438346501499
Gusb,0.6420126,0.022158698504748102,0.18209904796850684
Prps1l3,-0.037116278,0.6865112115258765,1.0
Srek1,0.4470867,0.004257327767803749,0.0443453903613858
Scarb1,1.5811987,0.020372246111166736,0.17018739533268412
Trbv29,0.71574306,0.07672842426415083,0.4884476389558204
Rdx,0.30414796,0.025206082677562264,0.20284141666067249
Diexf,0.8990888,0.029539646918786182,0.2300503530600423
Ogdh,-0.03558735,0.7595747958619152,1.0
Lmna,1.5021756,0.11702536373881105,0.6695313120738157
Tpm4,-0.87819713,6.298299230899999e-10,2.2005755761463184e-08
Kdm2a,0.1353065,0.3712284258860167,1.0
Atg4b,0.20809726,0.15872282506802216,0.832777374772561
H2-Q7,-0.14677423,0.5177616727322235,1.0
Nudt9,0.85872483,0.04878059616383753,0.3440446109464732
Odc1,1.6858923,0.008615284871683017,0.08195338908188879
Mrps25,0.8892605,0.0013266119023829937,0.015974937836065732
Nus1,0.23612043,0.24455239491276803,1.0
Tomm6,0.7249778,0.0015420395137518428,0.018111085649181263
Arl5b,-1.3915371,0.00025086278462840963,0.0034957183684089254
Map3k8,-0.04129546,0.9547863747017966,1.0
Exosc4,0.5132409,0.0015800058054388042,0.018504832574450535
Urb2,0.9322137,0.06392101036892973,0.4262935409398091
Nae1,0.14140236,0.16466424407599045,0.8543880111365059
Nol10,0.8806299,0.028213582179222447,0.22158697483455295
Tfdp1,0.7325408,0.02957886982428078,0.23024822255556443
Mgat2,-0.009857613,0.669293790735531,1.0
Rap1gds1,-0.03374637,0.6381716701498543,1.0
Wdr3,0.43313655,0.045448577112745844,0.3258237802792103
Rhot2,0.28123847,0.23071879787876448,1.0
Pfas,1.9030042,0.01776250859764327,0.15188813149734365
Mrpl49,0.4133475,0.039530801769412184,0.29228941538998376
Mtch2,0.34331217,0.008333333898109953,0.07968063267119936
Ptpn11,0.43915892,0.09891295392983451,0.5908542258762086
Cdt1,-0.3195671,0.594860781473368,1.0
Pet100,0.10152614,0.32780794970413896,1.0
Polr2c,0.22093202,0.08284611889828483,0.5167340634576404
Rbm27,0.047418047,0.3880110976265697,1.0
Dnajc15,0.5420469,0.001449324633274037,0.01715514512652351
Clcn4,-0.21120071,0.6456459174802951,1.0
Pou2af1,1.7813456,0.007623973017591418,0.07400182545787919
Cpsf6,0.17924862,0.07145686461433978,0.46446961999320857
Rbm22,0.012798813,0.6500005181208762,1.0
B230307C23Rik,0.65532935,0.00240049680627856,0.026814128534476196
Ift20,0.43423858,0.0008101406501302979,0.010197737216821408
Tmed7,0.39992005,0.035876686273212985,0.26872847345140116
Rasal1,0.95706654,0.07606672159969088,0.4857195334024706
Cd40lg,-1.3058194,2.2077548685952728e-29,3.504232632381792e-27
Gtf2h5,0.6170218,4.531982447386524e-07,1.0883288107801702e-05
Atp2b1,-0.11932906,0.6206097991268615,1.0
Ascc3,0.12297647,0.2182340806670504,1.0
Glrx2,0.21369155,0.05443904715597418,0.37584140840988634
Ptrhd1,0.56852657,0.09033124943967341,0.5544974597280284
Cops8,0.3465357,0.008591412198675633,0.08183231615036697
Lrrfip1,-0.3516091,0.0002179004825424204,0.003061997843214147
Polr3k,0.5937251,0.0024643060323660516,0.02747165507385459
Carm1,0.9428082,0.07908142628104456,0.4990424272623584
Nfe2l1,0.31724545,0.19073226836069068,0.9426880143829391
Tnpo1,0.48084998,0.006819693847789087,0.06716531234469687
Hdac3,0.23992331,0.12007624926346663,0.6811404936095762
Clint1,-0.4396982,0.24233749393700743,1.0
Lta4h,-0.009482393,0.5261650660402439,1.0
Mre11a,0.24449351,0.35005548988087365,1.0
Raver1,0.4539932,0.1002662386237817,0.596224697733038
Cd160,2.5532572,0.02263694890175576,0.1852073590557985
Faim,0.5035327,0.02727403302313742,0.2159377835456571
Eef1d,0.65773916,3.326614263648309e-24,3.9010519143350427e-22
AC125141.3,0.91246927,0.282354734871221,1.0
Ddx47,0.071468025,0.43045602393267113,1.0
Ahctf1,0.45201814,0.02261360288510412,0.18510722283062145
Cers2,0.0421947,0.3540859499958825,1.0
Ndufaf8,0.6109616,5.779916149940802e-06,0.0001157789453785017
Ahi1,0.53012407,0.21468588107041264,1.0
Dera,0.13201779,0.2871486496754626,1.0
Srp19,0.239582,0.012474528995795514,0.11286672108790881
Zcchc7,0.35030144,0.002530101869291907,0.028036354889374282
Tex10,-0.18612069,0.7296935478675706,1.0
Gm20275,0.7359513,0.07368583389760855,0.4750669662427637
Cltc,-0.068946995,0.9943296233793233,1.0
Surf2,0.58974886,0.004428212486482487,0.04578200328766571
Rap1b,-0.6019354,0.000134700815573723,0.0020026082001352967
Cd81,0.20455238,0.1886427192802117,0.9370848165496298
Smc2,0.5807857,0.02829469600050116,0.22191030755028346
Rasl11b,1.5911851,0.0003565368631620027,0.004830929562160924
Psmg3,1.1996487,0.0004447866754964728,0.00589722731410041
Arfrp1,0.32171553,0.0048193788361493494,0.04924369636050624
Klf16,0.5187473,0.2412300855029037,1.0
Fas,0.5928324,0.0004585882156280002,0.006065739048933533
Rpp14,0.6919408,0.007004445103877564,0.06878967713684354
Mapkapk3,0.6431476,0.027487004615984044,0.21724031497797747
Telo2,1.2363533,0.00033920284650498366,0.004611055986828759
Zfp62,-0.45088997,0.21604561973887326,1.0
Mesd,0.7684771,1.3821705792978005e-05,0.0002548147663116941
Med19,0.81796527,0.0010750609342576904,0.013232618560072872
Zbtb1,0.5434653,0.014114139540956245,0.125039498087491
Dhx29,0.63870007,0.04085148524734416,0.2997934183761505
Seh1l,0.0394073,0.5629721881652011,1.0
Fip1l1,0.09489961,0.2938144333437924,1.0
Plk3,-2.561443,0.0013526250837714946,0.016177423657687557
Ydjc,1.693937,0.004412556687532746,0.045648460431049497
Rgs16,2.9193735,0.009994294106735612,0.09274215232898425
Ppm1g,0.22366156,0.036450051441733286,0.2724811675545868
Wdr70,0.46206996,0.021909261079851673,0.18031592353422618
Pcgf6,0.6684567,0.020397830026378617,0.17031574910802907
Qsox1,0.60954493,0.03204507592657477,0.2449831355010528
Htatsf1,0.46340564,0.021539686355027145,0.17788920356436194
Tcf3,0.25572506,0.23351619496541431,1.0
Nktr,0.63577616,5.7337488737445845e-08,1.574277738547401e-06
Dnajc11,0.74489266,0.0033938682629535114,0.03644472195256651
Bap1,0.24583305,0.21188892795107372,1.0
Lypla2,0.17168163,0.08476090241330064,0.5257257907034122
Zfp622,-0.139745,0.8417159145422823,1.0
Foxn3,0.024361307,0.6486985320449521,1.0
1110032F04Rik,2.2491546,0.012725942652695754,0.11480998581695254
Naa35,0.13563438,0.4248953080255602,1.0
Tex30,-0.00042919847,0.5703232224449262,1.0
Tial1,-0.0032713886,0.7024918089233612,1.0
