"gene","module"
"Arhgap11a",1
"Bub1b",1
"Ezh2",1
"Fam64a",1
"Nek2",1
"Spry1",1
"Mki67",1
"Spc24",1
"Tcrg-C3",1
"Ncaph",1
"Esco2",1
"Mcm10",1
"Ncapg",1
"Foxm1",1
"Ccnb1",1
"Ube2c",1
"Fancd2",1
"BV12S11J2S3",1
"Iqgap3",1
"Rad51",1
"Lig1",1
"Spc25",1
"Depdc1b",1
"Bard1",1
"Myo1e",1
"Gpr162",1
"Ckap2",1
"Ticrr",1
"Cenpm",1
"Cobll1",1
"Grasp",1
"Irf4",1
"Slamf7",1
"Cd83",1
"Chek1",1
"Cdc20",1
"Ccne2",1
"Ncapg2",1
"Ptger2",1
"Ccdc148",1
"Gm8369",1
"Pole",1
"Xcl1",1
"Syt11",1
"Kif14",1
"Uhrf1",1
"Ccdc50",1
"Gucy1b3",1
"Synpo",1
"Tnfrsf19",1
"Shcbp1",1
"Zfp821",1
"Rundc3a",1
"Gjb2",1
"D630039A03Rik",1
"Neil3",1
"mKIAA0614",1
"Pxmp2",1
"E2f7",1
"Klra3",1
"Kit",1
"Kif22",1
"Irf8",1
"Gadd45b",1
"Ncmap",1
"Tk1",1
"Klrg1",1
"Nrp1",1
"Endod1",1
"Wee1",1
"Fam129a",1
"Tcrd",1
"X03865",1
"Rgs1",1
"Apol9b",1
"Tcrg-V1",1
"Tcrg-C",1
"Tcrg",1
"St6galnac3",1
"Prr11",1
"Lmna",1
"Wnt10a",1
"E2f3",1
"Nuf2",1
"Kif20a",1
"Kif15",1
"Maf",1
"Prc1",1
"Mxd3",1
"Lrrc32",1
"Foxp3",1
"E2f8",1
"Chaf1a",1
"Cdc6",1
"Rad54l",1
"Ckap2l",1
"Anln",1
"Mis18bp1",1
"Slc43a3",1
"Ccnb2",1
"Nusap1",1
"Top2a",1
"Espl1",1
"Clspn",1
"Kif11",1
"Rrm2",1
"Dtl",1
"Spag5",1
"Gucy1a3",1
"Cxcr5",1
"Pbk",1
"Cdk1",1
"Hmmr",1
